..........AI : 12.697 s, Game : 16.109 s
Episode 001 avg. reward = -1.000, Long-term avg. reward = -1.000
..........AI : 3.496 s, Game : 6.440 s
Episode 002 avg. reward = -1.000, Long-term avg. reward = -1.000
..........AI : 3.550 s, Game : 6.524 s
Episode 003 avg. reward = -1.000, Long-term avg. reward = -1.000
..........AI : 3.592 s, Game : 6.145 s
Episode 004 avg. reward = -1.000, Long-term avg. reward = -1.000
..........AI : 3.913 s, Game : 6.294 s
Episode 005 avg. reward = -1.000, Long-term avg. reward = -1.000
..........AI : 3.635 s, Game : 6.200 s
Episode 006 avg. reward = -1.000, Long-term avg. reward = -1.000
..........AI : 3.985 s, Game : 6.505 s
Episode 007 avg. reward = -1.000, Long-term avg. reward = -1.000
..........AI : 3.950 s, Game : 6.155 s
Episode 008 avg. reward = -1.000, Long-term avg. reward = -1.000
..........AI : 18.708 s, Game : 30.796 s
Episode 001 avg. reward = -0.200, Long-term avg. reward = -0.200
..........AI : 6.103 s, Game : 11.930 s
Episode 002 avg. reward = -0.900, Long-term avg. reward = -0.207
..........AI : 5.304 s, Game : 10.298 s
Episode 003 avg. reward = -1.000, Long-term avg. reward = -0.215
..........AI : 4.056 s, Game : 6.362 s
Episode 004 avg. reward = -1.000, Long-term avg. reward = -0.223
..........AI : 4.226 s, Game : 6.627 s
Episode 005 avg. reward = -1.000, Long-term avg. reward = -0.231
..........AI : 4.019 s, Game : 6.222 s
Episode 006 avg. reward = -1.000, Long-term avg. reward = -0.238
..........AI : 13.131 s, Game : 21.487 s
Episode 001 avg. reward = -0.700, Long-term avg. reward = -0.700
..........AI : 3.923 s, Game : 6.698 s
Episode 002 avg. reward = -1.000, Long-term avg. reward = -0.703
..........AI : 3.469 s, Game : 6.158 s
Episode 003 avg. reward = -1.000, Long-term avg. reward = -0.706
..........AI : 3.458 s, Game : 6.234 s
Episode 004 avg. reward = -1.000, Long-term avg. reward = -0.709
..........AI : 15.803 s, Game : 26.452 s
Episode 001 avg. reward = -0.400, Long-term avg. reward = -0.400
..........AI : 6.445 s, Game : 12.781 s
Episode 002 avg. reward = -1.000, Long-term avg. reward = -0.406
..........AI : 6.904 s, Game : 13.326 s
Episode 003 avg. reward = -1.000, Long-term avg. reward = -0.412
..........AI : 6.918 s, Game : 13.643 s
Episode 004 avg. reward = -1.000, Long-term avg. reward = -0.418
..........AI : 5.887 s, Game : 11.665 s
Episode 005 avg. reward = -1.000, Long-term avg. reward = -0.424
..........AI : 7.344 s, Game : 13.678 s
Episode 006 avg. reward = -1.000, Long-term avg. reward = -0.429
..........AI : 7.521 s, Game : 13.714 s
Episode 007 avg. reward = -1.000, Long-term avg. reward = -0.435
..........AI : 8.269 s, Game : 15.555 s
Episode 008 avg. reward = -1.000, Long-term avg. reward = -0.441
..........AI : 7.838 s, Game : 14.798 s
