..........AI : 6.883 s, Game : 0.820 s
Episode 001 avg. reward = -1.000, Long-term avg. reward = -1.000
..........AI : 6.746 s, Game : 1.093 s
Episode 002 avg. reward = -1.000, Long-term avg. reward = -1.000
..........AI : 6.496 s, Game : 1.074 s
Episode 003 avg. reward = -1.000, Long-term avg. reward = -1.000
..........AI : 8.847 s, Game : 1.504 s
Episode 004 avg. reward = -0.800, Long-term avg. reward = -0.998
..........AI : 7.584 s, Game : 1.163 s
Episode 005 avg. reward = -1.000, Long-term avg. reward = -0.998
..........AI : 9.799 s, Game : 1.438 s
Episode 006 avg. reward = -0.900, Long-term avg. reward = -0.997
..........AI : 18.484 s, Game : 2.690 s
Episode 007 avg. reward = -0.400, Long-term avg. reward = -0.991
..........AI : 12.146 s, Game : 1.498 s
Episode 008 avg. reward = -0.900, Long-term avg. reward = -0.990
..........AI : 9.018 s, Game : 1.009 s
Episode 009 avg. reward = -1.000, Long-term avg. reward = -0.990
..........AI : 8.838 s, Game : 1.118 s
Episode 010 avg. reward = -1.000, Long-term avg. reward = -0.990
..........AI : 8.512 s, Game : 1.145 s
Episode 011 avg. reward = -1.000, Long-term avg. reward = -0.990
..........AI : 7.817 s, Game : 1.070 s
Episode 012 avg. reward = -1.000, Long-term avg. reward = -0.991
..........AI : 7.222 s, Game : 1.021 s
Episode 013 avg. reward = -1.000, Long-term avg. reward = -0.991
..........AI : 7.266 s, Game : 1.085 s
Episode 014 avg. reward = -1.000, Long-term avg. reward = -0.991
..........AI : 8.632 s, Game : 1.053 s
Episode 015 avg. reward = -1.000, Long-term avg. reward = -0.991
..........AI : 9.435 s, Game : 1.110 s
Episode 016 avg. reward = -1.000, Long-term avg. reward = -0.991
..........AI : 10.607 s, Game : 1.431 s
Episode 017 avg. reward = -1.000, Long-term avg. reward = -0.991
..........AI : 7.806 s, Game : 1.155 s
Episode 018 avg. reward = -1.000, Long-term avg. reward = -0.991
..........AI : 9.558 s, Game : 1.231 s
Episode 019 avg. reward = -1.000, Long-term avg. reward = -0.991
..........AI : 8.904 s, Game : 1.115 s
Episode 020 avg. reward = -1.000, Long-term avg. reward = -0.991
..........AI : 8.666 s, Game : 1.129 s
Episode 021 avg. reward = -1.000, Long-term avg. reward = -0.991
..........AI : 7.342 s, Game : 1.109 s
Episode 022 avg. reward = -1.000, Long-term avg. reward = -0.991
..........AI : 7.074 s, Game : 1.135 s
Episode 023 avg. reward = -1.000, Long-term avg. reward = -0.992
..........AI : 7.991 s, Game : 1.191 s
Episode 024 avg. reward = -1.000, Long-term avg. reward = -0.992
..........AI : 9.794 s, Game : 1.443 s
Episode 025 avg. reward = -1.000, Long-term avg. reward = -0.992
..........AI : 7.344 s, Game : 1.079 s
Episode 026 avg. reward = -1.000, Long-term avg. reward = -0.992
..........AI : 7.805 s, Game : 1.033 s
Episode 027 avg. reward = -1.000, Long-term avg. reward = -0.992
..........AI : 7.746 s, Game : 0.987 s
Episode 028 avg. reward = -1.000, Long-term avg. reward = -0.992
..........AI : 8.099 s, Game : 1.092 s
Episode 029 avg. reward = -1.000, Long-term avg. reward = -0.992
..........AI : 6.708 s, Game : 0.933 s
Episode 030 avg. reward = -1.000, Long-term avg. reward = -0.992
..........AI : 7.818 s, Game : 1.022 s
Episode 031 avg. reward = -1.000, Long-term avg. reward = -0.992
..........AI : 8.138 s, Game : 1.123 s
Episode 032 avg. reward = -1.000, Long-term avg. reward = -0.992
..........AI : 9.226 s, Game : 1.166 s
Episode 033 avg. reward = -1.000, Long-term avg. reward = -0.992
..........AI : 7.787 s, Game : 1.016 s
Episode 034 avg. reward = -1.000, Long-term avg. reward = -0.992
..........AI : 6.817 s, Game : 0.916 s
Episode 035 avg. reward = -1.000, Long-term avg. reward = -0.992
..........AI : 7.012 s, Game : 0.915 s
Episode 036 avg. reward = -1.000, Long-term avg. reward = -0.993
..........AI : 8.129 s, Game : 1.078 s
Episode 037 avg. reward = -1.000, Long-term avg. reward = -0.993
..........AI : 8.930 s, Game : 1.241 s
Episode 038 avg. reward = -1.000, Long-term avg. reward = -0.993
..........AI : 7.946 s, Game : 1.101 s
Episode 039 avg. reward = -1.000, Long-term avg. reward = -0.993
..........AI : 8.080 s, Game : 1.064 s
Episode 040 avg. reward = -1.000, Long-term avg. reward = -0.993
..........AI : 8.058 s, Game : 1.009 s
Episode 041 avg. reward = -1.000, Long-term avg. reward = -0.993
..........AI : 9.054 s, Game : 1.150 s
Episode 042 avg. reward = -1.000, Long-term avg. reward = -0.993
..........AI : 6.891 s, Game : 0.910 s
Episode 043 avg. reward = -1.000, Long-term avg. reward = -0.993
..........AI : 7.057 s, Game : 0.926 s
Episode 044 avg. reward = -1.000, Long-term avg. reward = -0.993
..........AI : 7.467 s, Game : 1.033 s
Episode 045 avg. reward = -1.000, Long-term avg. reward = -0.993
..........AI : 9.295 s, Game : 1.238 s
Episode 046 avg. reward = -1.000, Long-term avg. reward = -0.993
..........AI : 6.993 s, Game : 0.924 s
Episode 047 avg. reward = -1.000, Long-term avg. reward = -0.993
..........AI : 8.843 s, Game : 1.116 s
Episode 048 avg. reward = -1.000, Long-term avg. reward = -0.993
..........AI : 7.214 s, Game : 0.966 s
Episode 049 avg. reward = -1.000, Long-term avg. reward = -0.993
..........AI : 8.409 s, Game : 1.110 s
Episode 050 avg. reward = -1.000, Long-term avg. reward = -0.994
..........AI : 7.223 s, Game : 0.963 s
Episode 051 avg. reward = -1.000, Long-term avg. reward = -0.994
..........AI : 7.150 s, Game : 0.934 s
Episode 052 avg. reward = -1.000, Long-term avg. reward = -0.994
..........AI : 7.794 s, Game : 1.048 s
Episode 053 avg. reward = -1.000, Long-term avg. reward = -0.994
..........AI : 7.263 s, Game : 0.942 s
Episode 054 avg. reward = -1.000, Long-term avg. reward = -0.994
..........AI : 7.642 s, Game : 1.035 s
Episode 055 avg. reward = -1.000, Long-term avg. reward = -0.994
..........AI : 8.598 s, Game : 1.209 s
Episode 056 avg. reward = -1.000, Long-term avg. reward = -0.994
..........AI : 7.961 s, Game : 1.099 s
Episode 057 avg. reward = -1.000, Long-term avg. reward = -0.994
..........AI : 8.342 s, Game : 1.136 s
Episode 058 avg. reward = -1.000, Long-term avg. reward = -0.994
..........AI : 8.627 s, Game : 1.048 s
Episode 059 avg. reward = -1.000, Long-term avg. reward = -0.994
..........AI : 8.369 s, Game : 1.143 s
Episode 060 avg. reward = -1.000, Long-term avg. reward = -0.994
..........AI : 8.387 s, Game : 1.104 s
Episode 061 avg. reward = -1.000, Long-term avg. reward = -0.994
..........AI : 8.709 s, Game : 1.126 s
Episode 062 avg. reward = -1.000, Long-term avg. reward = -0.994
..........AI : 8.711 s, Game : 1.171 s
Episode 063 avg. reward = -1.000, Long-term avg. reward = -0.994
..........AI : 6.680 s, Game : 0.913 s
Episode 064 avg. reward = -1.000, Long-term avg. reward = -0.994
..........AI : 8.148 s, Game : 1.143 s
Episode 065 avg. reward = -1.000, Long-term avg. reward = -0.994
..........AI : 8.223 s, Game : 1.080 s
Episode 066 avg. reward = -1.000, Long-term avg. reward = -0.995
..........AI : 8.126 s, Game : 1.114 s
Episode 067 avg. reward = -1.000, Long-term avg. reward = -0.995
..........AI : 7.424 s, Game : 0.909 s
Episode 068 avg. reward = -1.000, Long-term avg. reward = -0.995
..........AI : 8.619 s, Game : 1.149 s
Episode 069 avg. reward = -1.000, Long-term avg. reward = -0.995
..........AI : 8.520 s, Game : 1.185 s
Episode 070 avg. reward = -1.000, Long-term avg. reward = -0.995
..........AI : 7.838 s, Game : 1.110 s
Episode 071 avg. reward = -1.000, Long-term avg. reward = -0.995
..........AI : 8.859 s, Game : 1.230 s
Episode 072 avg. reward = -1.000, Long-term avg. reward = -0.995
..........AI : 7.045 s, Game : 0.970 s
Episode 073 avg. reward = -1.000, Long-term avg. reward = -0.995
..........AI : 8.270 s, Game : 1.104 s
Episode 074 avg. reward = -1.000, Long-term avg. reward = -0.995
..........AI : 7.534 s, Game : 1.022 s
Episode 075 avg. reward = -1.000, Long-term avg. reward = -0.995
..........AI : 8.130 s, Game : 1.066 s
Episode 076 avg. reward = -1.000, Long-term avg. reward = -0.995
..........AI : 8.799 s, Game : 1.136 s
Episode 077 avg. reward = -1.000, Long-term avg. reward = -0.995
..........AI : 8.266 s, Game : 1.139 s
Episode 078 avg. reward = -1.000, Long-term avg. reward = -0.995
..........AI : 8.390 s, Game : 1.153 s
Episode 079 avg. reward = -1.000, Long-term avg. reward = -0.995
..........AI : 8.180 s, Game : 1.089 s
Episode 080 avg. reward = -1.000, Long-term avg. reward = -0.995
..........AI : 7.966 s, Game : 1.009 s
Episode 081 avg. reward = -1.000, Long-term avg. reward = -0.995
..........AI : 7.460 s, Game : 1.064 s
Episode 082 avg. reward = -1.000, Long-term avg. reward = -0.995
..........AI : 7.511 s, Game : 0.956 s
Episode 083 avg. reward = -1.000, Long-term avg. reward = -0.995
..........AI : 7.640 s, Game : 1.005 s
Episode 084 avg. reward = -1.000, Long-term avg. reward = -0.995
..........AI : 7.213 s, Game : 1.025 s
Episode 085 avg. reward = -1.000, Long-term avg. reward = -0.995
..........AI : 7.954 s, Game : 1.092 s
Episode 086 avg. reward = -1.000, Long-term avg. reward = -0.996
..........AI : 8.095 s, Game : 1.086 s
Episode 087 avg. reward = -1.000, Long-term avg. reward = -0.996
..........AI : 8.079 s, Game : 1.074 s
Episode 088 avg. reward = -1.000, Long-term avg. reward = -0.996
..........AI : 8.521 s, Game : 1.127 s
Episode 089 avg. reward = -1.000, Long-term avg. reward = -0.996
..........AI : 7.567 s, Game : 1.032 s
Episode 090 avg. reward = -1.000, Long-term avg. reward = -0.996
..........AI : 7.390 s, Game : 1.011 s
Episode 091 avg. reward = -1.000, Long-term avg. reward = -0.996
..........AI : 7.423 s, Game : 0.981 s
Episode 092 avg. reward = -1.000, Long-term avg. reward = -0.996
..........AI : 7.973 s, Game : 1.024 s
Episode 093 avg. reward = -1.000, Long-term avg. reward = -0.996
..........AI : 7.955 s, Game : 1.127 s
Episode 094 avg. reward = -1.000, Long-term avg. reward = -0.996
..........AI : 7.719 s, Game : 1.061 s
Episode 095 avg. reward = -1.000, Long-term avg. reward = -0.996
..........AI : 7.434 s, Game : 1.062 s
Episode 096 avg. reward = -1.000, Long-term avg. reward = -0.996
..........AI : 8.359 s, Game : 1.126 s
Episode 097 avg. reward = -1.000, Long-term avg. reward = -0.996
..........AI : 7.094 s, Game : 0.946 s
Episode 098 avg. reward = -1.000, Long-term avg. reward = -0.996
..........AI : 7.613 s, Game : 1.065 s
Episode 099 avg. reward = -1.000, Long-term avg. reward = -0.996
..........AI : 6.649 s, Game : 0.859 s
Episode 100 avg. reward = -1.000, Long-term avg. reward = -0.996
..........AI : 7.202 s, Game : 1.018 s
Episode 101 avg. reward = -1.000, Long-term avg. reward = -0.996
..........AI : 7.184 s, Game : 1.050 s
Episode 102 avg. reward = -1.000, Long-term avg. reward = -0.996
..........AI : 9.103 s, Game : 1.209 s
Episode 103 avg. reward = -1.000, Long-term avg. reward = -0.996
..........AI : 7.248 s, Game : 1.000 s
Episode 104 avg. reward = -1.000, Long-term avg. reward = -0.996
..........AI : 7.440 s, Game : 0.973 s
Episode 105 avg. reward = -1.000, Long-term avg. reward = -0.996
..........AI : 7.787 s, Game : 1.021 s
Episode 106 avg. reward = -1.000, Long-term avg. reward = -0.996
..........AI : 8.125 s, Game : 1.109 s
Episode 107 avg. reward = -1.000, Long-term avg. reward = -0.996
..........AI : 7.095 s, Game : 0.991 s
Episode 108 avg. reward = -1.000, Long-term avg. reward = -0.996
..........AI : 8.474 s, Game : 1.133 s
Episode 109 avg. reward = -1.000, Long-term avg. reward = -0.996
..........AI : 7.890 s, Game : 1.061 s
Episode 110 avg. reward = -1.000, Long-term avg. reward = -0.996
..........AI : 7.739 s, Game : 1.049 s
Episode 111 avg. reward = -1.000, Long-term avg. reward = -0.997
..........AI : 8.652 s, Game : 1.052 s
Episode 112 avg. reward = -1.000, Long-term avg. reward = -0.997
..........AI : 9.054 s, Game : 1.146 s
Episode 113 avg. reward = -1.000, Long-term avg. reward = -0.997
..........AI : 6.698 s, Game : 0.932 s
Episode 114 avg. reward = -1.000, Long-term avg. reward = -0.997
..........AI : 7.588 s, Game : 1.018 s
Episode 115 avg. reward = -1.000, Long-term avg. reward = -0.997
..........AI : 6.857 s, Game : 0.926 s
Episode 116 avg. reward = -1.000, Long-term avg. reward = -0.997
..........AI : 8.636 s, Game : 1.109 s
Episode 117 avg. reward = -1.000, Long-term avg. reward = -0.997
..........AI : 8.427 s, Game : 1.067 s
Episode 118 avg. reward = -1.000, Long-term avg. reward = -0.997
..........AI : 10.617 s, Game : 1.346 s
Episode 119 avg. reward = -1.000, Long-term avg. reward = -0.997
..........AI : 9.149 s, Game : 1.073 s
Episode 120 avg. reward = -1.000, Long-term avg. reward = -0.997
..........AI : 9.001 s, Game : 1.167 s
Episode 121 avg. reward = -1.000, Long-term avg. reward = -0.997
..........AI : 8.445 s, Game : 1.122 s
Episode 122 avg. reward = -1.000, Long-term avg. reward = -0.997
..........AI : 8.729 s, Game : 1.210 s
