Load previous model.sav? [0/1]
0
..........AI : 13.488 s, Game : 19.496 s
Episode 001 avg. reward = -0.700, Long-term avg. reward = -0.700
..........AI : 8.601 s, Game : 15.914 s
Episode 002 avg. reward = -1.000, Long-term avg. reward = -0.703
..........AI : 13.010 s, Game : 26.543 s
Episode 003 avg. reward = -0.500, Long-term avg. reward = -0.701
..........AI : 10.224 s, Game : 20.813 s
Episode 004 avg. reward = -0.700, Long-term avg. reward = -0.701
..........AI : 11.308 s, Game : 22.366 s
Episode 005 avg. reward = -0.600, Long-term avg. reward = -0.700
..........AI : 11.904 s, Game : 21.734 s
Episode 006 avg. reward = -0.600, Long-term avg. reward = -0.699
..........AI : 11.889 s, Game : 24.815 s
Episode 007 avg. reward = -0.500, Long-term avg. reward = -0.697
..........AI : 9.925 s, Game : 20.347 s
Episode 008 avg. reward = -0.800, Long-term avg. reward = -0.698
..........AI : 10.312 s, Game : 19.061 s
Episode 009 avg. reward = -0.900, Long-term avg. reward = -0.700
..........AI : 10.125 s, Game : 17.768 s
Episode 010 avg. reward = -0.600, Long-term avg. reward = -0.699
..........AI : 9.344 s, Game : 16.149 s
Episode 011 avg. reward = -0.900, Long-term avg. reward = -0.701
..........AI : 11.515 s, Game : 22.114 s
Episode 012 avg. reward = -0.600, Long-term avg. reward = -0.700
..........AI : 11.167 s, Game : 22.364 s
Episode 013 avg. reward = -0.700, Long-term avg. reward = -0.700
..........AI : 11.227 s, Game : 22.500 s
Episode 014 avg. reward = -0.600, Long-term avg. reward = -0.699
..........AI : 8.304 s, Game : 15.625 s
Episode 015 avg. reward = -0.900, Long-term avg. reward = -0.701
..........AI : 10.045 s, Game : 20.285 s
Episode 016 avg. reward = -0.700, Long-term avg. reward = -0.701
..........AI : 12.020 s, Game : 23.179 s
Episode 017 avg. reward = -0.500, Long-term avg. reward = -0.699
..........AI : 8.390 s, Game : 16.005 s
Episode 018 avg. reward = -0.800, Long-term avg. reward = -0.700
..........AI : 9.642 s, Game : 19.913 s
Episode 019 avg. reward = -0.700, Long-term avg. reward = -0.700
..........AI : 11.747 s, Game : 23.769 s
Episode 020 avg. reward = -0.600, Long-term avg. reward = -0.699
..........AI : 8.822 s, Game : 17.019 s
Episode 021 avg. reward = -1.000, Long-term avg. reward = -0.702
..........AI : 8.363 s, Game : 16.141 s
Episode 022 avg. reward = -0.900, Long-term avg. reward = -0.704
..........AI : 9.507 s, Game : 19.325 s
Episode 023 avg. reward = -0.900, Long-term avg. reward = -0.706
..........AI : 10.158 s, Game : 20.673 s
Episode 024 avg. reward = -0.700, Long-term avg. reward = -0.706
..........AI : 11.209 s, Game : 20.558 s
Episode 025 avg. reward = -0.700, Long-term avg. reward = -0.706
..........AI : 13.496 s, Game : 26.165 s
Episode 026 avg. reward = -0.500, Long-term avg. reward = -0.704
..........AI : 13.712 s, Game : 28.534 s
Episode 027 avg. reward = -0.300, Long-term avg. reward = -0.700
..........AI : 8.974 s, Game : 18.139 s
Episode 028 avg. reward = -0.800, Long-term avg. reward = -0.701
..........AI : 15.045 s, Game : 31.525 s
Episode 029 avg. reward = -0.200, Long-term avg. reward = -0.696
..........AI : 7.208 s, Game : 14.636 s
Episode 030 avg. reward = -0.900, Long-term avg. reward = -0.698
..........AI : 10.474 s, Game : 21.593 s
Episode 031 avg. reward = -0.700, Long-term avg. reward = -0.698
..........AI : 10.307 s, Game : 21.294 s
Episode 032 avg. reward = -0.700, Long-term avg. reward = -0.698
..........AI : 9.957 s, Game : 20.401 s
Episode 033 avg. reward = -0.800, Long-term avg. reward = -0.699
..........AI : 14.193 s, Game : 29.992 s
Episode 034 avg. reward = -0.400, Long-term avg. reward = -0.696
..........AI : 8.100 s, Game : 16.330 s
Episode 035 avg. reward = -0.900, Long-term avg. reward = -0.698
..........AI : 13.825 s, Game : 29.326 s
Episode 036 avg. reward = -0.300, Long-term avg. reward = -0.694
..........AI : 9.825 s, Game : 19.927 s
Episode 037 avg. reward = -0.800, Long-term avg. reward = -0.695
..........AI : 11.912 s, Game : 24.410 s
Episode 038 avg. reward = -0.600, Long-term avg. reward = -0.694
..........AI : 8.360 s, Game : 16.873 s
Episode 039 avg. reward = -0.900, Long-term avg. reward = -0.696
..........AI : 14.131 s, Game : 29.132 s
Episode 040 avg. reward = -0.500, Long-term avg. reward = -0.694
..........AI : 10.928 s, Game : 22.246 s
Episode 041 avg. reward = -0.600, Long-term avg. reward = -0.693
..........AI : 17.067 s, Game : 34.809 s
Episode 042 avg. reward = -0.300, Long-term avg. reward = -0.689
..........AI : 11.253 s, Game : 21.586 s
Episode 043 avg. reward = -0.700, Long-term avg. reward = -0.689
..........AI : 17.067 s, Game : 34.866 s
Episode 044 avg. reward = -0.300, Long-term avg. reward = -0.685
..........AI : 17.467 s, Game : 35.198 s
Episode 045 avg. reward = -0.200, Long-term avg. reward = -0.681
..........AI : 13.287 s, Game : 27.753 s
Episode 046 avg. reward = -0.400, Long-term avg. reward = -0.678
..........AI : 11.912 s, Game : 22.392 s
Episode 047 avg. reward = -0.700, Long-term avg. reward = -0.678
..........AI : 9.428 s, Game : 19.281 s
